CNAE,UF,count_contratos,valor_total,valor_medio,n_orgaos,n_meis,share_cnae,share_uf,log_valor_medio,log_valor_total,log_count,diversidade_orgaos,densidade_mei,target
1096100,MG,6,1024321.0,170720.16666666666,5,5,0.0008679870591020279,0.1032115521186775,12.047786900314167,13.839541488276568,1.9459101490553132,0.04201680672268908,0.8333333333333334,1
4530703,BA,6,13314064.0,2219010.6666666665,3,6,0.006154817328178016,0.0658881085772903,14.612572459524463,16.404331553209882,1.9459101490553132,0.025210084033613446,1.0,1
1821100,PE,1,134380.0,134380.0,1,1,0.0009468949735658487,0.015781582892764143,11.808434328030021,11.808434328030021,0.6931471805599453,0.008403361344537815,1.0,0
4761003,RN,2,444273.0,222136.5,2,1,0.005286830269075988,0.012940897972066599,12.311051838493741,13.004196768193014,1.0986122886681098,0.01680672268907563,0.5,0
2599399,RS,2,216500.0,108250.0,2,2,0.00023672374339146217,0.12214945158999448,11.592207883697355,12.285350445351659,1.0986122886681098,0.01680672268907563,1.0,0
4721102,PI,1,350000.0,350000.0,1,1,0.004103211552118678,0.001972697861595518,12.765691290604371,12.765691290604371,0.6931471805599453,0.008403361344537815,1.0,0
4329101,RS,1,14800.0,14800.0,1,1,0.0009468949735658487,0.12214945158999448,9.60245002503719,9.60245002503719,0.6931471805599453,0.008403361344537815,1.0,0
4756300,MG,2,544000.0,272000.0,2,2,0.0011836187169573108,0.1032115521186775,12.513561021741964,13.206706364071684,1.0986122886681098,0.01680672268907563,1.0,0
8230001,22783115,1,800000.0,800000.0,1,1,0.05420973723664484,7.890791446382072e-05,13.592368256649284,13.592368256649284,0.6931471805599453,0.008403361344537815,1.0,0
4729699,SC,1,112000.0,112000.0,1,1,0.002840684920697546,0.043951708356348144,11.626263078808801,11.626263078808801,0.6931471805599453,0.008403361344537815,1.0,0
1351100,RS,1,34800.0,34800.0,1,1,0.00015781582892764143,0.12214945158999448,10.457401400981889,10.457401400981889,0.6931471805599453,0.008403361344537815,1.0,0
