CNAE,UF,count_contratos,valor_total,valor_medio,n_orgaos,n_meis
8592902,SP,20,1630325.0,81516.25,10,15
4729601,SC,2,135000.0,67500.0,2,1
5912099,RS,12,689410.0,57450.833333333336,7,7
9529105,SP,31,775159.0,25005.129032258064,4,4
4753900,SP,48,3711823.0,77329.64583333333,13,13
9001902,SE,35,3712920.0,106083.42857142857,9,24
4772500,SP,3,659206.0,219735.33333333334,3,2
8592903,MG,27,30289941.0,1121849.6666666667,23,21
7319099,GO,33,9438988.0,286029.9393939394,23,20
4520005,PR,91,79797058.0,876890.7472527473,14,15
9001902,05754071,1,35000.0,35000.0,1,1
3299099,ES,3,371500.0,123833.33333333333,1,1
4520007,SP,21,642113.0,30576.809523809523,7,7
7739003,GO,14,502700.0,35907.142857142855,5,4
4729699,RJ,1,10000.0,10000.0,1,1
7319099,RS,10,739000.0,73900.0,7,7
4520001,PR,10,39429945.0,3942994.5,6,10
9001902,PR,110,29754991.0,270499.91818181815,41,70
7721700,RS,6,1130700.0,188450.0,6,4
2542000,RS,10,1700629.0,170062.9,8,6
5611203,RS,9,455230.0,50581.11111111111,5,5
1413403,GO,1,35000.0,35000.0,1,1
8219999,RS,6,424330.0,70721.66666666667,6,6
8599605,89650000,1,85000.0,85000.0,1,1
8230001,PE,19,2689473.0,141551.2105263158,10,12
4744001,RS,8,67460.0,8432.5,4,2
9001906,75620000,3,815000.0,271666.6666666667,2,1
5611201,GO,58,8279047.0,142742.1896551724,10,10
9529199,MG,3,829872.0,276624.0,3,3
7739003,RS,4,758000.0,189500.0,4,2
4755502,BA,8,5308042.0,663505.25,8,3
5611203,GO,18,438620.0,24367.777777777777,8,7
2539001,SP,5,177300.0,35460.0,3,4
9001902,RN,34,3261000.0,95911.76470588235,21,23
8592999,GARAVELO RESIDENCIAL PARK,1,150000.0,150000.0,1,1
8599604,PR,15,4034025.0,268935.0,15,11
4330402,MG,5,385120.0,77024.0,3,3
8230002,RS,12,346500.0,28875.0,5,4
9511800,GO,20,4704287.0,235214.35,17,16
7420004,SC,3,427059.0,142353.0,3,3
8230002,GO,5,797950.0,159590.0,4,2
5812301,GO,13,1310850.0,100834.61538461539,7,6
4520001,RJ,6,393240.0,65540.0,2,1
4399199,BA,6,111550.0,18591.666666666668,1,1
5812301,RS,6,666000.0,111000.0,5,5
5620101,CE,10,413150.0,41315.0,1,1
2539001,AL,3,180000.0,60000.0,1,1
9511800,RS,5,4200246.0,840049.2,4,4
7721700,GO,9,325500.0,36166.666666666664,8,4
3299099,PB,2,900000.0,450000.0,2,2
8299799,PI,1,48000.0,48000.0,1,1
4789008,RS,1,34000.0,34000.0,1,1
4330403,PR,1,36000.0,36000.0,1,1
5620103,RS,3,137502.0,45834.0,1,1
2542000,GO,19,635547.0,33449.84210526316,9,7
4322302,MG,10,1798028.0,179802.8,10,8
4754702,40285450,2,1796233.0,898116.5,1,1
3314707,BA,1,3918235.0,3918235.0,1,1
4755502,PB,5,697920.0,139584.0,4,1
8219999,GO,35,8228995.0,235114.14285714287,27,23
1359600,PB,4,8313719.0,2078429.75,3,3
4761001,SP,4,1327994.0,331998.5,2,2
4724500,MG,3,133199.0,44399.666666666664,3,3
3314710,PR,2,15380.0,7690.0,2,2
4751201,TO,1,115680.0,115680.0,1,1
8599699,MS,2,1296000.0,648000.0,2,1
1413403,RS,6,1088892.0,181482.0,3,1
4744002,PR,1,30000.0,30000.0,1,1
4757100,SP,4,5426673.0,1356668.25,3,3
4757100,AL,1,8093493.0,8093493.0,1,1
5912099,80050370,2,45900.0,22950.0,1,1
3299004,PR,1,47760.0,47760.0,1,1
8599604,RJ,4,1460000.0,365000.0,4,4
1340501,PR,2,228692.0,114346.0,1,1
7319002,24230240,1,523600.0,523600.0,1,1
4520002,MG,6,3393452.0,565575.3333333334,5,6
4322302,MA,4,6905602.0,1726400.5,3,4
9521500,73930000,1,540000.0,540000.0,1,1
4520005,PI,1,2356316.0,2356316.0,1,1
5620104,PE,2,45660.0,22830.0,2,2
8599604,RN,1,516000.0,516000.0,1,1
9601701,PR,1,101790.0,101790.0,1,1
4721102,SC,1,226750.0,226750.0,1,1
5320202,BA,2,168000.0,84000.0,1,2
4322302,73870000,1,307200.0,307200.0,1,1
8299799,PR,1,64800.0,64800.0,1,1
8712300,PB,1,352000.0,352000.0,1,1
4722901,PB,2,2336810.0,1168405.0,2,2
4789007,DF,1,25415.0,25415.0,1,1
9001906,MS,1,0.0,0.0,1,1
9002702,PR,1,2656500.0,2656500.0,1,1
7319002,35681314,1,120000.0,120000.0,1,1
6399200,BA,1,6289113.0,6289113.0,1,1
